node1,node2
51188,9275
51188,8336
51188,8289
51188,6605
51188,6604
51188,6603
51188,6602
51188,6601
51188,6599
51188,6598
51188,6597
51188,6595
51188,5977
51188,57492
51188,55249
51188,54856
440686,8358
3009,6124
57720,83605
441150,5264
441150,5191
30,83696
30,5830
30,5191
30,441150
29998,9274
29998,6602
29998,605
29992,55128
29970,60592
83992,85369
57464,80342
57464,80143
57464,6801
58533,79842
58533,6642
29954,51744
4189,9427
4189,93145
4189,8740
4189,79937
4189,728378
4189,55757
4189,51435
29950,55844
29950,5520
29950,5519
79917,996
79917,9512
79917,8881
79917,8697
6117,7507
6117,6118
29934,8724
51125,84868
51125,56650
29929,79053
29926,8893
29926,64083
29925,8893
29925,64083
29925,55300
29925,29926
64748,91039
29919,80320
29916,79269
29906,57190
29906,3134
29903,79018
29903,55914
29901,338328
29899,9338
29893,84057
29893,79036
29890,84292
63978,9139
63978,863
79691,8877
79691,79930
501,80143
2983,57037
2983,439921
54442,79734
54442,55076
54442,54487
29801,56650
29785,944
29785,79669
29785,7852
6251,64098
3987,64098
3987,6251
3987,55907
3987,55742
3611,64098
3611,6251
3611,55742
3611,3987
29780,6251
29780,3987
29780,3611
51575,9510
51333,9045
51333,6838
51333,6204
51333,6202
51333,6187
51333,6147
51333,6135
51333,6122
55166,79682
55166,79172
29775,55166
29775,54438
29761,55958
84163,9569
2969,84163
2969,50964
2969,4808
2963,5047
2960,2961
2958,9519
2958,6908
2957,9519
2957,6908
2957,2958
2956,4436
2956,345757
2949,55738
2948,2949
2946,5435
2946,2949
2946,2948
2946,2947
2939,2941
54434,60
54434,59
51725,8454
51725,70
51725,6500
51725,60
2923,910
2923,3423
2921,7186
2921,57448
2921,329
2920,2921
292,682
292,3671
2919,81929
2919,7186
2919,57448
2919,56616
2919,329
29128,9338
29128,55337
29128,359787
29122,79699
29122,445571
29122,3309
7841,79867
55890,9747
55890,9725
55890,9397
55890,8995
55890,56928
54805,8073
54805,7803
54805,55515
3134,909
3134,90273
3134,8242
3134,7903
3134,7379
3134,6487
3134,5798
3134,567
3134,5553
3134,55515
3134,51046
3134,50856
3134,353174
3134,3135
29985,944
29985,3106
55308,9811
55308,8021
55308,57409
29118,55308
29117,9274
29117,8110
29117,6605
29117,6602
29117,6601
29117,605
29116,57590
29115,984
29115,81669
29115,728642
29115,57018
29114,8407
29103,51025
29102,54487
56244,9349
29091,9342
29091,8775
29091,8773
29091,6810
29091,6809
54930,9921
54930,55559
4728,54539
4728,51079
4728,4731
4722,54539
4722,51295
4722,51103
4722,51079
4722,4731
4722,4726
4722,4725
4720,56928
4720,54539
4720,51079
4720,4731
4720,4726
4720,4725
4698,54539
4698,4731
4698,4726
4698,4709
29015,79572
29015,6836
29015,506
28989,9084
55907,6158
28985,8562
28983,80213
4440,84695
4440,5939
4440,51069
54539,84277
54539,79699
54539,55967
4725,9131
4725,84277
4725,55967
4725,54539
4725,51295
4725,51103
4725,51079
4725,4731
4725,4729
4725,4726
90701,9789
28970,65260
57626,8874
57626,6643
57626,6642
28962,79444
51530,7175
51530,5347
55269,6421
2887,79726
54206,7533
54206,7532
54206,7531
28778,84861
28778,55295
28778,3309
2876,3216
2875,84706
79718,90665
6907,90665
6907,79726
56929,8453
4605,55957
4603,55957
8834,926
64083,8740
64083,81554
64083,6742
57515,728
286451,976
286451,54432
286410,84548
57698,83648
57698,81565
3297,9532
3297,79036
3297,3312
53405,5594
286257,5495
286257,54819
286257,3313
4853,91526
4853,5876
4853,5553
4879,9512
4879,8573
3489,892
3489,84262
3489,5534
3489,5533
3489,389362
2859,506
2859,3958
2857,90231
2857,4718
285527,9454
285346,92609
285315,682
285315,55630
285203,79630
285203,338328
285180,83696
28514,91039
28514,8443
57186,92715
57148,92715
57148,84251
4194,7157
4077,9450
4077,54819
284427,7111
284427,3329
56658,92595
56658,730087
284252,51133
7779,9077
51230,55683
488,489
283987,3049
283871,90655
283643,80178
283643,66008
283635,54953
283617,58490
283471,83986
283471,6646
5034,8974
5034,8292
283458,654364
283458,4832
5604,5605
283455,7532
283455,7531
283455,5605
283455,5604
283373,55662
283373,5537
54509,9450
54509,5910
7130,8563
7130,80020
283219,8448
283219,7130
283219,57565
283219,51726
6050,991
6050,84881
6050,8427
6050,79943
6050,6135
283,6050
3281,55845
3281,54535
3281,51019
55171,5519
55171,5518
28227,5518
28227,55171
28227,29844
2820,967
2820,7039
2820,55630
3420,9573
4521,95
4521,57590
286148,84068
286148,51471
8994,9796
2803,8994
2802,79036
56886,64806
2997,8987
2997,8908
2997,5834
2992,8987
2992,8908
2992,5834
279,3309
279,2997
279,2992
279,280
2792,5082
2781,79269
2776,80790
2776,60626
2776,54331
2776,2790
2776,2787
2784,54331
2784,2790
2775,60626
2773,60626
2773,6002
2773,5909
2773,2790
2773,2788
2773,2787
2773,2786
2773,2783
2773,2782
2773,2780
2773,2775
2770,63940
2770,60626
2770,54331
2770,2790
2770,2787
2770,2773
2768,60626
2766,51292
2746,84861
27440,84866
27440,7386
27440,374291
27440,3329
27434,348180
4143,4144
27430,4144
27430,4143
338809,84790
338809,80755
338809,7846
338809,54902
338809,4548
2739,28998
27352,3106
56652,7593
56652,7507
285367,9361
285367,80742
285367,7386
285367,64951
285367,5939
285367,56922
285367,54502
285367,51263
285367,51069
285367,51067
285367,3329
285367,28998
84957,9943
27347,84957
27347,81628
27347,346689
27347,285613
27342,9135
27342,79874
65083,6838
27341,65083
29988,56889
29988,347688
27336,84844
27336,6638
27336,6637
27336,6636
27336,6635
27336,6629
27336,6628
27336,6627
27335,8668
27335,8666
27335,8665
27335,8664
27335,8663
27335,51386
27335,3646
60491,84970
60491,84895
60491,84688
60491,83640
60491,64689
274,81488
274,51411
273,2752
273,274
2730,5578
56109,8607
84688,9361
27249,84688
27249,54998
27243,51534
27238,8449
54878,91039
54878,79930
54878,6638
54878,6628
54878,65260
27237,54878
2720,9587
2720,94097
2720,8270
2720,51343
2720,387
2720,3795
2720,3337
2720,3300
811,9450
811,9241
811,84866
27183,9525
27183,84936
27183,51534
2717,9681
2717,8131
2717,440138
55243,887
55243,84709
55243,7379
27158,57019
3652,58495
3652,55958
3652,54813
27143,9094
27143,84747
8178,85403
27123,90316
27123,6653
27123,4041
27123,4040
27122,83858
27122,55501
9319,9976
5890,7516
5890,5892
57189,8270
5190,84866
5189,90203
3679,9450
3679,909
3679,6901
3679,5727
27113,599
27113,596
27113,4170
271,8479
271,6470
271,6383
271,60313
271,50717
51471,7381
51471,5270
27089,80142
27089,54785
27089,51471
27086,93986
27086,50943
80776,91369
79583,80776
79583,79867
79583,79600
27077,80776
27077,79867
27077,79600
27077,79583
28969,9689
28969,79188
54850,79178
54850,682
54850,6500
54708,9927
5095,7386
5095,54988
5095,5096
2707,51449
954,9950
5770,9725
5770,954
5770,728
27044,79148
27042,55272
27040,64788
27039,5311
6273,79036
6273,7903
56916,92595
51053,91978
51053,890
27031,9094
27031,84747
27031,51053
27030,4292
51635,79669
51635,58477
51635,55800
51635,55194
51635,5283
51182,55515
27000,51182
26994,5792
2678,728441
26747,9326
26747,8607
26747,83759
2671,9131
2671,84908
2671,3211
267002,84553
267002,84547
266812,4673
5861,81876
5861,5877
53916,5867
4218,5877
4218,51762
344892,8733
4643,92595
26578,8452
26578,6102
26578,57542
26578,4643
79065,84447
26539,79065
26539,55666
26539,267
26538,51651
84962,92667
84962,92597
84962,9113
84962,8994
26524,92597
26524,84962
6895,8575
441476,9361
26517,79029
26517,441476
26517,29113
26512,79035
26508,5229
54622,7803
54622,54822
54622,54805
26504,8073
26504,7803
26504,6440
26504,54622
26504,3956
26502,8601
2639,63929
2638,728378
2638,653269
2638,60
2638,345651
26355,444
26355,27069
2631,84861
2631,5590
2631,3329
26298,7874
79868,967
54726,7185
2629,5874
2629,5873
2629,3904
2629,345
2629,2630
64756,92399
26278,92369
283459,55278
283459,5188
26275,283459
26273,8454
26273,6500
26273,3423
26272,8907
26272,8454
