@id,n,r,id_type,gene_id,NCBI_id
2283,BRD3,uniprot:Q15059,uniprot,Q15059,8019
2284,VRK2,uniprot:Q86Y07,uniprot,Q86Y07,7444
2285,CISD2,uniprot:Q8N5K1,uniprot,Q8N5K1,493856
2286,VPS50,uniprot:Q96JG6,uniprot,Q96JG6,55610
2287,COX15,uniprot:Q7KZN9-2,uniprot,Q7KZN9-2,uniprot_Q7KZN9-2
2288,SEPHS2,uniprot:Q99611,uniprot,Q99611,22928
2289,GTF2H1,uniprot:P32780,uniprot,P32780,2965
2290,REXO4,uniprot:Q9GZR2,uniprot,Q9GZR2,57109
2291,MRPL46,uniprot:Q9H2W6,uniprot,Q9H2W6,26589
2292,RBPJ,uniprot:Q06330-7,uniprot,Q06330-7,uniprot_Q06330-7
2293,RPAP3,uniprot:Q9H6T3,uniprot,Q9H6T3,79657
2294,UBA6,uniprot:A0AVT1,uniprot,A0AVT1,55236
2295,PFDN4,uniprot:Q9NQP4,uniprot,Q9NQP4,5203
2296,CHMP5,uniprot:Q9NZZ3,uniprot,Q9NZZ3,51510
2297,WARS2,uniprot:Q9UGM6,uniprot,Q9UGM6,10352
2298,CGAS,uniprot:Q8N884,uniprot,Q8N884,115004
2299,ANAPC4,uniprot:Q9UJX5,uniprot,Q9UJX5,29945
2300,TONSL,uniprot:Q96HA7,uniprot,Q96HA7,4796
2301,STUB1,uniprot:Q9UNE7,uniprot,Q9UNE7,10273
2302,TIMELESS,uniprot:Q9UNS1-2,uniprot,Q9UNS1-2,uniprot_Q9UNS1-2
2303,CHMP2B,uniprot:Q9UQN3,uniprot,Q9UQN3,25978
