@id,n,NCBI_id
682,PRDX3,10935
683,RABIF,5877
684,RWDD4,201965
685,GALC,2581
686,ATXN10,25814
687,ESR2,2100
688,EFCAB14,9813
689,NRBF2,29982
690,GOLT1B,51026
691,MRPS35,60488
692,ISOC1,51015
693,RWDD1,51389
694,EIF2AK4,440275
695,HIBCH,26275
696,DTD1,92675
697,NECAP1,25977
698,BPGM,669
699,UFM1,51569
700,BIRC2,329
701,MOSPD1,56180
702,MDH1,4190
703,MAP2K4,6416
704,PEX13,5194
705,LPGAT1,9926
706,MICU2,221154
707,RNF170,81790
708,ECT2,1894
709,STAM2,10254
710,SCAMP1,9522
711,TMEM192,201931
712,SYNJ1,8867
713,GLT8D1,55830
714,ATP5MC3,518
715,CNIH1,10175
716,ANXA4,307
717,ANXA7,310
718,NUMB,8650
719,HLTF,6596
720,TAGLN,6876
721,PPP1CB,5500
722,RNFT1,51136
723,C1D,10438
724,HADHB,3032
725,NDUFS4,4724
726,PICALM,8301
727,TM2D1,83941
728,TMOD3,29766
729,WASHC5,9897
730,LYPLA1,10434
731,SEC24B,10427
732,SRP9,6726
733,OAT,4942
734,KIFAP3,22920
735,LEF1,51176
736,CANX,821
737,NDUFAB1,4706
738,ZNF140,7699
739,MRPL3,11222
740,MMADHC,27249
741,LIG4,3981
742,GOLGA7,51125
743,NNT,23530
744,SOD1,6647
745,SEC63,11231
746,SARAF,51669
747,GARS,2618
748,TRMT1L,81627
749,TDP2,51567
750,SCOC,60592
751,ACYP2,98
752,PPP2CA,5515
753,ACSL3,2181
754,WDR59,79726
755,ASF1A,25842
756,RNF8,9025
757,CCNH,902
758,ZNF217,7764
759,VDR,7421
760,METAP1,23173
761,TRAK2,66008
762,PCMT1,5110
763,SLC25A32,81034
764,PNMA1,9240
765,NMD3,51068
766,FAM177A1,283635
767,DCTN6,10671
768,CMAS,55907
769,LANCL1,10314
770,SLC35A1,10559
771,SLC35A3,23443
772,UBXN4,23190
773,PRELID3B,51012
774,ORC4,5000
775,C5orf22,55322
776,TTC1,7265
777,RCN2,5955
778,DCUN1D1,54165
779,SLC26A2,1836
780,DYNC1LI1,51143
781,POLR2B,5431
782,TRIP4,9325
783,POLR2K,5440
784,STRN3,29966
785,HADH,3033
786,SLC25A46,91137
787,TNFAIP3,7128
788,FAM8A1,51439
789,AP3B1,8546
790,RBM22,55696
791,SNCA,6622
792,ACTR6,64431
793,STAMBP,10617
794,APOOL,139322
795,SDCBP,6386
796,ATP5PF,522
797,CCNG2,901
798,ATP5PO,539
799,PCDHB11,56125
800,NCOR1,9611
801,LMBR1,64327
802,TMED7,51014
803,TBC1D9,23158
804,ACSL4,2182
805,TMED2,10959
806,ARPP19,10776
807,MRPS30,10884
808,MAPK1,5594
809,MAPK6,5597
810,SACM1L,22908
811,TMEM30A,55754
812,MAPK9,5601
813,REEP5,7905
814,ARMT1,79624
815,RBL2,5934
816,PAQR3,152559
817,RDX,5962
818,SERINC3,10955
819,COPS5,10987
820,CRNKL1,51340
821,DEGS1,8560
822,YTHDC2,64848
823,VPS26A,9559
824,SPAST,6683
825,ITFG1,81533
826,MORF4L1,10933
827,PRKACB,5567
828,PGRMC1,10857
829,DECR1,1666
830,TMEM230,29058
831,ARFGAP3,26286
832,CLPX,10845
833,LRBA,987
834,ACVR1,90
835,CD59,966
836,CTDSP2,10106
837,NRIP1,8204
838,DERA,51071
839,CAND1,55832
